0.0000;	38.4492;	-1.0000;	0;	
93.3130;	96.5989;	98.4492;	2;	94.3830  95.5362  96.7383  97.8012  97.9335  98.5662  101.5850  
94.3830;	96.5989;	98.4492;	2;	95.5362  96.7383  97.8012  97.9335  98.5662  101.5850  106.9895  
95.5362;	96.5989;	98.4492;	2;	96.7383  97.8012  97.9335  98.5662  98.6158  101.5850  106.9895  
96.5989;	97.7449;	98.4492;	2;	96.7383  97.8012  97.9335  98.5662  98.6158  99.0664  101.5850  106.9895  
96.7383;	97.7449;	98.4492;	2;	97.1766  97.8012  97.9335  98.5662  98.6158  99.0664  101.5850  106.9895  
97.1766;	97.7449;	98.4492;	2;	97.8012  97.9335  98.5022  98.5662  98.6158  99.0664  101.5850  106.9895  
97.7449;	108.0439;	98.4492;	2;	97.8012  97.9335  98.5022  98.5662  98.6158  99.0664  99.2673  101.5850  106.9895  
97.8012;	108.0439;	98.4492;	2;	97.9335  98.5022  98.5662  98.6158  99.0664  99.2673  101.5850  106.9895  109.3735  
97.9335;	108.0439;	98.4492;	2;	98.5022  98.5662  98.6158  99.0664  99.2673  101.5850  106.9895  107.5365  109.3735  
98.4492;	108.0439;	108.4492;	1;	98.5022  98.5662  98.6158  99.0664  99.2673  101.5850  106.9895  107.5365  109.3735  
98.5022;	108.0439;	108.4492;	2;	98.5662  98.6158  99.0664  99.2673  101.5850  106.9895  107.5365  109.3735  
98.5662;	108.0439;	108.4492;	2;	98.6158  99.0664  99.2673  101.5850  103.1366  106.9895  107.5365  109.3735  
98.6158;	108.0439;	108.4492;	2;	99.0664  99.2673  101.4444  101.5850  103.1366  106.9895  107.5365  109.3735  
99.0664;	108.0439;	108.4492;	2;	99.2673  101.4444  101.5850  103.1366  103.5413  106.9895  107.5365  109.3735  
99.2673;	108.0439;	108.4492;	2;	99.4502  101.4444  101.5850  103.1366  103.5413  106.9895  107.5365  109.3735  
99.4502;	108.0439;	108.4492;	2;	101.4444  101.5850  103.1366  103.5413  106.2603  106.9895  107.5365  109.3735  
101.4444;	108.0439;	108.4492;	2;	101.5850  103.1366  103.5413  105.6426  106.2603  106.9895  107.5365  109.3735  
101.5850;	108.0439;	108.4492;	2;	103.1366  103.5413  105.3909  105.6426  106.2603  106.9895  107.5365  109.3735  
103.1366;	108.0439;	108.4492;	2;	103.5413  105.3909  105.6426  106.2603  106.9895  107.5365  109.3735  122.8543  
103.5413;	108.0439;	108.4492;	2;	104.3363  105.3909  105.6426  106.2603  106.9895  107.5365  109.3735  122.8543  
104.3363;	108.0439;	108.4492;	2;	104.3976  105.3909  105.6426  106.2603  106.9895  107.5365  109.3735  122.8543  
104.3976;	108.0439;	108.4492;	2;	105.1755  105.3909  105.6426  106.2603  106.9895  107.5365  109.3735  122.8543  
105.1755;	108.0439;	108.4492;	2;	105.3909  105.6426  106.2603  106.9895  107.5365  109.3735  109.8047  122.8543  
105.3909;	108.0439;	108.4492;	2;	105.6239  105.6426  106.2603  106.9895  107.5365  109.3735  109.8047  122.8543  
105.6239;	108.0439;	108.4492;	2;	105.6426  106.2603  106.9895  107.5365  109.3735  109.8047  110.1567  122.8543  
105.6426;	108.0439;	108.4492;	2;	106.2603  106.9895  107.5365  109.3735  109.8047  110.1567  113.7445  122.8543  
106.2603;	108.0439;	108.4492;	2;	106.9895  107.5365  109.3735  109.8047  110.1567  111.6011  113.7445  122.8543  
106.9895;	108.0439;	108.4492;	2;	107.1942  107.5365  109.3735  109.8047  110.1567  111.6011  113.7445  122.8543  
107.1942;	108.0439;	108.4492;	2;	107.5365  109.3735  109.8047  110.1567  110.2622  111.6011  113.7445  122.8543  
107.5365;	108.0439;	108.4492;	2;	109.3735  109.8047  110.1567  110.2622  111.6011  113.7445  114.8369  122.8543  
108.0439;	118.4821;	108.4492;	2;	108.9593  109.3735  109.8047  110.1567  110.2622  111.6011  113.7445  114.8369  122.8543  
108.4492;	118.4821;	118.4492;	1;	108.9593  109.3735  109.8047  110.1567  110.2622  111.6011  113.7445  114.8369  122.8543  
108.9593;	118.4821;	118.4492;	2;	109.3735  109.8047  110.1567  110.2622  111.6011  113.7445  114.8369  122.8543  
109.3735;	118.4821;	118.4492;	2;	109.8047  110.1567  110.2622  111.6011  113.7445  114.8369  115.4651  122.8543  
109.8047;	118.4821;	118.4492;	2;	110.1567  110.2622  111.6011  113.7445  114.1956  114.8369  115.4651  122.8543  
110.1567;	118.4821;	118.4492;	2;	110.2622  111.6011  112.7674  113.7445  114.1956  114.8369  115.4651  122.8543  
110.2622;	118.4821;	118.4492;	2;	111.6011  111.6565  112.7674  113.7445  114.1956  114.8369  115.4651  122.8543  
111.6011;	118.4821;	118.4492;	2;	111.6565  112.7674  113.0217  113.7445  114.1956  114.8369  115.4651  122.8543  
111.6565;	118.4821;	118.4492;	2;	112.7674  113.0217  113.7445  114.1956  114.8369  115.4651  122.8543  124.3550  
112.7674;	118.4821;	118.4492;	2;	113.0217  113.7445  114.1956  114.8369  115.4651  118.1861  122.8543  124.3550  
113.0217;	118.4821;	118.4492;	2;	113.7445  114.1240  114.1956  114.8369  115.4651  118.1861  122.8543  124.3550  
113.7445;	118.4821;	118.4492;	2;	114.1240  114.1956  114.8369  115.4651  118.1861  119.5227  122.8543  124.3550  
114.1240;	118.4821;	118.4492;	2;	114.1956  114.8369  115.4651  116.1027  118.1861  119.5227  122.8543  124.3550  
114.1956;	118.4821;	118.4492;	2;	114.8369  115.4651  116.1027  116.9001  118.1861  119.5227  122.8543  124.3550  
114.8369;	118.4821;	118.4492;	2;	115.4651  116.1027  116.9001  118.1861  119.5227  119.6315  122.8543  124.3550  
115.4651;	118.4821;	118.4492;	2;	116.1027  116.9001  118.1861  119.3991  119.5227  119.6315  122.8543  124.3550  
116.1027;	118.4821;	118.4492;	2;	116.9001  118.1861  119.3991  119.5227  119.6315  122.8543  124.3550  126.1795  
116.9001;	118.4821;	118.4492;	2;	117.1155  118.1861  119.3991  119.5227  119.6315  122.8543  124.3550  126.1795  
117.1155;	118.4821;	118.4492;	2;	118.1861  118.3108  119.3991  119.5227  119.6315  122.8543  124.3550  126.1795  
118.1861;	118.4821;	118.4492;	2;	118.3108  119.3991  119.5227  119.6315  122.8543  124.3550  125.0363  126.1795  
118.3108;	118.4821;	118.4492;	2;	118.8749  119.3991  119.5227  119.6315  122.8543  124.3550  125.0363  126.1795  
118.4492;	118.4821;	128.4492;	1;	118.8749  119.3991  119.5227  119.6315  122.8543  124.3550  125.0363  126.1795  
118.4821;	121.1572;	128.4492;	2;	118.8749  119.3991  119.5227  119.6315  122.8543  124.3550  125.0363  126.1795  
118.8749;	121.1572;	128.4492;	2;	119.3991  119.5227  119.6315  121.7946  122.8543  124.3550  125.0363  126.1795  
119.3991;	121.1572;	128.4492;	2;	119.5227  119.6315  121.7946  122.8543  124.3071  124.3550  125.0363  126.1795  
119.5227;	121.1572;	128.4492;	2;	119.6315  121.7946  122.2253  122.8543  124.3071  124.3550  125.0363  126.1795  
119.6315;	121.1572;	128.4492;	2;	121.7946  122.2253  122.8543  124.3071  124.3550  124.4327  125.0363  126.1795  
121.1572;	148.0108;	128.4492;	2;	121.7946  122.2253  122.8543  123.4216  124.3071  124.3550  124.4327  125.0363  126.1795  
121.7946;	148.0108;	128.4492;	2;	122.1320  122.2253  122.8543  123.4216  124.3071  124.3550  124.4327  125.0363  126.1795  
122.1320;	148.0108;	128.4492;	2;	122.2253  122.5833  122.8543  123.4216  124.3071  124.3550  124.4327  125.0363  126.1795  
122.2253;	148.0108;	128.4492;	2;	122.5833  122.8543  123.4216  124.2045  124.3071  124.3550  124.4327  125.0363  126.1795  
122.5833;	148.0108;	128.4492;	2;	122.8543  123.4216  123.4848  124.2045  124.3071  124.3550  124.4327  125.0363  126.1795  
122.8543;	148.0108;	128.4492;	2;	123.1517  123.4216  123.4848  124.2045  124.3071  124.3550  124.4327  125.0363  126.1795  
123.1517;	148.0108;	128.4492;	2;	123.4216  123.4848  124.2045  124.3071  124.3550  124.4327  125.0363  125.6978  126.1795  
123.4216;	148.0108;	128.4492;	2;	123.4848  123.9159  124.2045  124.3071  124.3550  124.4327  125.0363  125.6978  126.1795  
123.4848;	148.0108;	128.4492;	2;	123.5791  123.9159  124.2045  124.3071  124.3550  124.4327  125.0363  125.6978  126.1795  
123.5790;	148.0108;	128.4492;	2;	123.9159  124.2045  124.3071  124.3550  124.4327  124.7964  125.0363  125.6978  126.1795  
123.9159;	148.0108;	128.4492;	2;	124.2045  124.3071  124.3550  124.4327  124.7964  125.0363  125.0881  125.6978  126.1795  
124.2045;	148.0108;	128.4492;	2;	124.3071  124.3550  124.4327  124.7964  125.0363  125.0881  125.6978  126.1795  127.4661  
124.3071;	148.0108;	128.4492;	2;	124.3550  124.4327  124.7964  125.0363  125.0881  125.6978  126.1795  126.9356  127.4661  
124.3550;	148.0108;	128.4492;	2;	124.4327  124.7964  125.0363  125.0881  125.6978  126.1795  126.9356  127.2441  127.4661  
124.4327;	148.0108;	128.4492;	2;	124.7964  125.0363  125.0881  125.6978  126.0270  126.1795  126.9356  127.2441  127.4661  
124.7964;	148.0108;	128.4492;	2;	125.0363  125.0881  125.6978  126.0270  126.1795  126.9356  126.9794  127.2441  127.4661  
125.0363;	148.0108;	128.4492;	2;	125.0881  125.6978  126.0270  126.1795  126.9356  126.9794  127.2441  127.4661  132.9386  
125.0881;	148.0108;	128.4492;	2;	125.6978  126.0270  126.1795  126.9356  126.9794  127.2441  127.4661  130.0453  132.9386  
125.6978;	148.0108;	128.4492;	2;	126.0270  126.1795  126.9356  126.9794  127.2441  127.4661  129.6475  130.0453  132.9386  
126.0270;	148.0108;	128.4492;	2;	126.1795  126.9356  126.9794  127.2441  127.4661  128.2749  129.6475  130.0453  132.9386  
126.1795;	148.0108;	128.4492;	2;	126.9356  126.9794  127.2441  127.3842  127.4661  128.2749  129.6475  130.0453  132.9386  
126.9356;	148.0108;	128.4492;	2;	126.9794  127.2441  127.3842  127.4661  128.2749  128.3798  129.6475  130.0453  132.9386  
126.9794;	148.0108;	128.4492;	2;	127.2441  127.3842  127.4661  128.2749  128.3798  129.4026  129.6475  130.0453  132.9386  
127.2441;	148.0108;	128.4492;	2;	127.3842  127.4661  128.2749  128.3798  129.4026  129.6475  130.0453  132.9386  133.0715  
127.3842;	148.0108;	128.4492;	2;	127.4661  128.2749  128.3798  129.4026  129.6475  130.0453  132.9386  133.0715  137.2921  
127.4661;	148.0108;	128.4492;	2;	128.2749  128.3798  129.4026  129.6475  130.0453  132.9386  133.0715  137.2921  149.6085  
128.2749;	148.0108;	128.4492;	2;	128.3798  129.4026  129.6475  130.0453  131.2380  132.9386  133.0715  137.2921  149.6085  
128.3798;	148.0108;	128.4492;	2;	129.4026  129.6475  130.0453  131.2380  132.9386  133.0715  134.7483  137.2921  149.6085  
128.4492;	148.0108;	138.4492;	1;	129.4026  129.6475  130.0453  131.2380  132.9386  133.0715  134.7483  137.2921  149.6085  
129.4026;	148.0108;	138.4492;	2;	129.6475  130.0453  131.2380  132.9386  133.0715  134.7483  137.2921  149.6085  
129.6475;	148.0108;	138.4492;	2;	130.0453  131.2380  132.9386  133.0715  134.7483  137.2921  146.8937  149.6085  
130.0453;	148.0108;	138.4492;	2;	131.2380  132.9386  133.0715  133.2029  134.7483  137.2921  146.8937  149.6085  
131.2380;	148.0108;	138.4492;	2;	132.9386  133.0715  133.2029  133.7798  134.7483  137.2921  146.8937  149.6085  
132.9386;	148.0108;	138.4492;	2;	133.0715  133.2029  133.7798  134.7483  134.9337  137.2921  146.8937  149.6085  
133.0715;	148.0108;	138.4492;	2;	133.2029  133.7798  134.7483  134.9337  137.2921  142.1321  146.8937  149.6085  
133.2029;	148.0108;	138.4492;	2;	133.7798  134.7483  134.9337  136.9351  137.2921  142.1321  146.8937  149.6085  
133.7798;	148.0108;	138.4492;	2;	134.7483  134.9337  136.9351  137.2921  142.1321  146.8937  149.6085  157.8294  
134.7483;	148.0108;	138.4492;	2;	134.9337  136.9351  137.2921  142.1321  146.8937  149.6085  154.8420  157.8294  
134.9337;	148.0108;	138.4492;	2;	136.9351  137.2921  137.3373  142.1321  146.8937  149.6085  154.8420  157.8294  
136.9351;	148.0108;	138.4492;	2;	137.2921  137.3373  142.1321  146.8937  149.6085  154.6598  154.8420  157.8294  
137.2921;	148.0108;	138.4492;	2;	137.3373  142.1321  142.4101  146.8937  149.6085  154.6598  154.8420  157.8294  
137.3373;	148.0108;	138.4492;	2;	139.9627  142.1321  142.4101  146.8937  149.6085  154.6598  154.8420  157.8294  
138.4492;	148.0108;	148.4492;	1;	139.9627  142.1321  142.4101  146.8937  149.6085  154.6598  154.8420  157.8294  
139.9627;	148.0108;	148.4492;	2;	142.1321  142.4101  146.8937  149.6085  154.6598  154.8420  157.8294  
142.1321;	148.0108;	148.4492;	2;	142.1540  142.4101  146.8937  149.6085  154.6598  154.8420  157.8294  
142.1540;	148.0108;	148.4492;	2;	142.4101  144.1707  146.8937  149.6085  154.6598  154.8420  157.8294  
142.4101;	148.0108;	148.4492;	2;	142.7443  144.1707  146.8937  149.6085  154.6598  154.8420  157.8294  
142.7442;	148.0108;	148.4492;	2;	142.9346  144.1707  146.8937  149.6085  154.6598  154.8420  157.8294  
142.9346;	148.0108;	148.4492;	2;	143.7829  144.1707  146.8937  149.6085  154.6598  154.8420  157.8294  
143.7829;	148.0108;	148.4492;	2;	144.1707  146.8937  147.6807  149.6085  154.6598  154.8420  157.8294  
144.1707;	148.0108;	148.4492;	2;	144.7245  146.8937  147.6807  149.6085  154.6598  154.8420  157.8294  
144.7245;	148.0108;	148.4492;	2;	146.8937  147.6807  149.6085  154.6598  154.8420  157.6464  157.8294  
146.8937;	148.0108;	148.4492;	2;	147.6807  149.6085  149.7046  154.6598  154.8420  157.6464  157.8294  
147.6807;	148.0108;	148.4492;	2;	147.8627  149.6085  149.7046  154.6598  154.8420  157.6464  157.8294  
147.8627;	148.0108;	148.4492;	2;	149.6085  149.6725  149.7046  154.6598  154.8420  157.6464  157.8294  
148.0108;	150.9739;	148.4492;	2;	149.6085  149.6725  149.7046  151.7547  154.6598  154.8420  157.6464  157.8294  
148.4492;	150.9739;	158.4492;	1;	149.6085  149.6725  149.7046  151.7547  154.6598  154.8420  157.6464  157.8294  
149.6085;	150.9739;	158.4492;	2;	149.6725  149.7046  151.7547  154.6598  154.8420  157.6464  157.8294  
149.6725;	150.9739;	158.4492;	2;	149.7046  151.0043  151.7547  154.6598  154.8420  157.6464  157.8294  
149.7046;	150.9739;	158.4492;	2;	151.0043  151.7547  151.7945  154.6598  154.8420  157.6464  157.8294  
150.9739;	151.4779;	158.4492;	2;	151.0043  151.7547  151.7945  154.6598  154.8420  157.6464  157.8294  164.8123  
151.0043;	151.4779;	158.4492;	2;	151.7547  151.7945  154.6598  154.8420  157.6464  157.8294  161.0593  164.8123  
151.4779;	167.0330;	158.4492;	2;	151.7547  151.7945  154.6598  154.8420  157.2314  157.6464  157.8294  161.0593  164.8123  
151.7547;	167.0330;	158.4492;	2;	151.7945  154.6598  154.8420  157.2314  157.4894  157.6464  157.8294  161.0593  164.8123  
151.7945;	167.0330;	158.4492;	2;	152.4453  154.6598  154.8420  157.2314  157.4894  157.6464  157.8294  161.0593  164.8123  
152.4453;	167.0330;	158.4492;	2;	153.6874  154.6598  154.8420  157.2314  157.4894  157.6464  157.8294  161.0593  164.8123  
153.6874;	167.0330;	158.4492;	2;	153.6883  154.6598  154.8420  157.2314  157.4894  157.6464  157.8294  161.0593  164.8123  
153.6883;	167.0330;	158.4492;	2;	154.6598  154.8420  157.2314  157.4894  157.6464  157.8294  161.0593  164.8123  170.2322  
154.6598;	167.0330;	158.4492;	2;	154.8420  155.1006  157.2314  157.4894  157.6464  157.8294  161.0593  164.8123  170.2322  
154.8420;	167.0330;	158.4492;	2;	155.1006  157.2314  157.4894  157.5867  157.6464  157.8294  161.0593  164.8123  170.2322  
155.1006;	167.0330;	158.4492;	2;	157.2314  157.4894  157.5867  157.6464  157.8294  159.7670  161.0593  164.8123  170.2322  
157.2314;	167.0330;	158.4492;	2;	157.4894  157.5126  157.5867  157.6464  157.8294  159.7670  161.0593  164.8123  170.2322  
157.4894;	167.0330;	158.4492;	2;	157.5126  157.5867  157.6464  157.8294  159.7670  160.2101  161.0593  164.8123  170.2322  
157.5126;	167.0330;	158.4492;	2;	157.5867  157.6464  157.8294  159.7670  160.2101  161.0593  161.6608  164.8123  170.2322  
157.5867;	167.0330;	158.4492;	2;	157.6464  157.8294  159.7670  160.2101  161.0593  161.6608  164.8123  166.0842  170.2322  
157.6464;	167.0330;	158.4492;	2;	157.8294  159.3659  159.7670  160.2101  161.0593  161.6608  164.8123  166.0842  170.2322  
157.8294;	167.0330;	158.4492;	2;	159.3659  159.7670  160.2101  161.0593  161.6608  164.8123  165.7052  166.0842  170.2322  
158.4492;	167.0330;	168.4492;	1;	159.3659  159.7670  160.2101  161.0593  161.6608  164.8123  165.7052  166.0842  170.2322  
159.3659;	167.0330;	168.4492;	2;	159.7670  160.2101  161.0593  161.6608  164.8123  165.7052  166.0842  170.2322  
159.7670;	167.0330;	168.4492;	2;	160.2101  160.5232  161.0593  161.6608  164.8123  165.7052  166.0842  170.2322  
160.2101;	167.0330;	168.4492;	2;	160.5232  161.0593  161.1276  161.6608  164.8123  165.7052  166.0842  170.2322  
160.5232;	167.0330;	168.4492;	2;	161.0593  161.1276  161.6608  163.8870  164.8123  165.7052  166.0842  170.2322  
161.0593;	167.0330;	168.4492;	2;	161.1276  161.6608  163.8870  164.8123  165.7052  166.0842  170.2322  179.8067  
161.1276;	167.0330;	168.4492;	2;	161.6608  163.8870  164.8123  165.7052  166.0842  166.5761  170.2322  179.8067  
161.6608;	167.0330;	168.4492;	2;	162.4172  163.8870  164.8123  165.7052  166.0842  166.5761  170.2322  179.8067  
162.4172;	167.0330;	168.4492;	2;	163.8870  164.8123  165.7052  166.0842  166.5761  167.6988  170.2322  179.8067  
163.8870;	167.0330;	168.4492;	2;	164.5221  164.8123  165.7052  166.0842  166.5761  167.6988  170.2322  179.8067  
164.5221;	167.0330;	168.4492;	2;	164.8123  165.7052  166.0842  166.5761  167.6988  170.2322  170.9665  179.8067  
164.8123;	167.0330;	168.4492;	2;	165.7052  166.0842  166.5761  166.9495  167.6988  170.2322  170.9665  179.8067  
165.7052;	167.0330;	168.4492;	2;	166.0842  166.5761  166.9495  167.4100  167.6988  170.2322  170.9665  179.8067  
166.0842;	167.0330;	168.4492;	2;	166.5761  166.8932  166.9495  167.4100  167.6988  170.2322  170.9665  179.8067  
166.5761;	167.0330;	168.4492;	2;	166.8932  166.9495  167.4100  167.6988  170.2322  170.9665  172.0228  179.8067  
166.8932;	167.0330;	168.4492;	2;	166.9495  167.4100  167.6988  170.2322  170.9665  172.0228  178.0837  179.8067  
166.9495;	167.0330;	168.4492;	2;	167.4100  167.6988  168.1281  170.2322  170.9665  172.0228  178.0837  179.8067  
167.0330;	175.9541;	168.4492;	2;	167.4100  167.6988  168.1281  169.9765  170.2322  170.9665  172.0228  178.0837  179.8067  
167.4100;	175.9541;	168.4492;	2;	167.6988  168.1013  168.1281  169.9765  170.2322  170.9665  172.0228  178.0837  179.8067  
167.6989;	175.9541;	168.4492;	2;	168.1013  168.1281  168.3829  169.9765  170.2322  170.9665  172.0228  178.0837  179.8067  
168.1013;	175.9541;	168.4492;	2;	168.1281  168.3510  168.3829  169.9765  170.2322  170.9665  172.0228  178.0837  179.8067  
168.1281;	175.9541;	168.4492;	2;	168.3510  168.3829  169.9765  170.2322  170.9665  172.0228  176.7738  178.0837  179.8067  
168.3510;	175.9541;	168.4492;	2;	168.3829  169.9765  170.2322  170.9665  172.0228  172.1178  176.7738  178.0837  179.8067  
168.3829;	175.9541;	168.4492;	2;	169.9765  170.2322  170.9665  172.0228  172.1178  176.7738  178.0837  179.8067  180.6005  
168.4492;	175.9541;	178.4492;	1;	169.9765  170.2322  170.9665  172.0228  172.1178  176.7738  178.0837  179.8067  180.6005  
169.9765;	175.9541;	178.4492;	2;	170.2322  170.9665  172.0228  172.1178  176.7738  178.0837  179.8067  180.6005  
170.2322;	175.9541;	178.4492;	2;	170.9665  172.0228  172.1178  176.7738  178.0837  179.8067  180.6005  191.0657  
170.9665;	175.9541;	178.4492;	2;	172.0228  172.1178  173.4913  176.7738  178.0837  179.8067  180.6005  191.0657  
172.0228;	175.9541;	178.4492;	2;	172.1178  173.4913  176.7738  178.0837  179.8067  180.6005  183.3481  191.0657  
172.1178;	175.9541;	178.4492;	2;	173.4913  176.7738  178.0837  179.8067  180.6005  181.5680  183.3481  191.0657  
173.4913;	175.9541;	178.4492;	2;	174.3574  176.7738  178.0837  179.8067  180.6005  181.5680  183.3481  191.0657  
174.3574;	175.9541;	178.4492;	2;	176.7738  178.0837  179.6282  179.8067  180.6005  181.5680  183.3481  191.0657  
175.9541;	181.7729;	178.4492;	2;	176.7738  178.0837  179.6282  179.8067  180.6005  181.5680  182.4452  183.3481  191.0657  
176.7738;	181.7729;	178.4492;	2;	178.0837  179.6282  179.8067  180.6005  181.5680  182.4452  183.3481  184.9270  191.0657  
178.0837;	181.7729;	178.4492;	2;	179.6282  179.8067  180.6005  181.5680  182.3234  182.4452  183.3481  184.9270  191.0657  
178.4492;	181.7729;	188.4492;	1;	179.6282  179.8067  180.6005  181.5680  182.3234  182.4452  183.3481  184.9270  191.0657  
179.6282;	181.7729;	188.4492;	2;	179.8067  180.6005  181.5680  182.3234  182.4452  183.3481  184.9270  191.0657  
179.8067;	181.7729;	188.4492;	2;	180.6005  181.0076  181.5680  182.3234  182.4452  183.3481  184.9270  191.0657  
180.6005;	181.7729;	188.4492;	2;	181.0076  181.2923  181.5680  182.3234  182.4452  183.3481  184.9270  191.0657  
181.0076;	181.7729;	188.4492;	2;	181.2923  181.5680  182.3234  182.4452  183.0518  183.3481  184.9270  191.0657  
181.2923;	181.7729;	188.4492;	2;	181.5680  182.3234  182.4452  183.0518  183.3481  184.9270  191.0657  194.2386  
181.5680;	181.7729;	188.4492;	2;	182.3234  182.4452  183.0518  183.3481  184.9270  190.2909  191.0657  194.2386  
181.7729;	189.8282;	188.4492;	2;	182.3234  182.4452  183.0518  183.3481  184.9270  189.7057  190.2909  191.0657  194.2386  
182.3233;	189.8282;	188.4492;	2;	182.4452  183.0518  183.3481  184.9270  189.7057  190.2909  190.6534  191.0657  194.2386  
182.4452;	189.8282;	188.4492;	2;	183.0518  183.3481  184.9270  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
183.0518;	189.8282;	188.4492;	2;	183.1724  183.3481  184.9270  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
183.1724;	189.8282;	188.4492;	2;	183.3481  184.1341  184.9270  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
183.3481;	189.8282;	188.4492;	2;	184.1341  184.9270  187.5389  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
184.1340;	189.8282;	188.4492;	2;	184.9270  185.4011  187.5389  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
184.9270;	189.8282;	188.4492;	2;	185.4011  185.6716  187.5389  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
185.4011;	189.8282;	188.4492;	2;	185.6716  185.8623  187.5389  189.7057  190.2909  190.6534  191.0657  194.2386  201.5977  
185.6716;	189.8282;	188.4492;	2;	185.8623  187.5389  189.7057  190.2909  190.5944  190.6534  191.0657  194.2386  201.5977  
